name: WX-Pasl
time                 value
----                 -----
2019-01-01T10:35:04Z 10297.31
2019-01-01T10:40:04Z 10297.69
2019-01-01T10:45:03Z 10296.01
2019-01-01T10:50:04Z 10294.66
2019-01-01T10:55:04Z 10293.89
2019-01-01T11:00:03Z 10292.52
2019-01-01T11:05:04Z 10291.68
2019-01-01T11:10:04Z 10290.17
2019-01-01T11:15:04Z 10289.64
2019-01-01T11:20:04Z 10288.56
2019-01-01T11:25:04Z 10287.81
2019-01-01T11:30:04Z 10287.76
2019-01-01T11:35:03Z 10285.33
2019-01-01T11:40:05Z 10286.46
2019-01-01T11:45:03Z 10286.57
2019-01-01T11:50:04Z 10284.06
2019-01-01T11:55:04Z 10284.58
2019-01-01T12:00:03Z 10283.34
2019-01-01T12:05:04Z 10282.37
2019-01-01T12:10:09Z 10282.37
2019-01-01T12:15:05Z 10278.52
2019-01-01T12:20:09Z 10278.82
2019-01-01T12:25:04Z 10275.64
2019-01-01T12:30:04Z 10275.64
2019-01-01T12:35:04Z 10277.35
2019-01-01T12:40:09Z 10278.42
2019-01-01T12:45:04Z 10277.32
2019-01-01T12:50:04Z 10276.83
2019-01-01T12:55:03Z 10272.79
2019-01-01T13:00:04Z 10271.46
2019-01-01T13:05:04Z 10268.75
2019-01-01T13:10:03Z 10269.16
2019-01-01T13:15:05Z 10268.46
2019-01-01T13:20:03Z 10267.28
2019-01-01T13:25:04Z 10268.73
2019-01-01T13:30:03Z 10268.95
2019-01-01T13:35:04Z 10267.37
2019-01-01T13:40:04Z 10265.59
2019-01-01T13:45:09Z 10266.06
2019-01-01T13:50:04Z 10264.39
2019-01-01T13:55:04Z 10266.02
2019-01-01T14:00:04Z 10264.86
2019-01-01T14:05:04Z 10266.78
2019-01-01T14:10:04Z 10266.62
2019-01-01T14:15:04Z 10264.36
2019-01-01T14:20:04Z 10264.87
2019-01-01T14:25:09Z 10264.70
2019-01-01T14:30:04Z 10264.65
2019-01-01T14:35:04Z 10264.27
2019-01-01T14:40:04Z 10263.29
2019-01-01T14:45:04Z 10264.23
2019-01-01T14:50:05Z 10263.70
2019-01-01T14:55:08Z 10264.73
2019-01-01T15:00:04Z 10264.67
2019-01-01T15:05:09Z 10263.13
2019-01-01T15:10:04Z 10262.93
2019-01-01T15:15:05Z 10262.82
2019-01-01T15:20:03Z 10262.60
2019-01-01T15:25:04Z 10261.72
2019-01-01T15:30:04Z 10261.69
2019-01-01T15:35:03Z 10261.11
2019-01-01T15:40:04Z 10261.33
2019-01-01T15:45:09Z 10260.70
2019-01-01T15:50:05Z 10260.45
2019-01-01T15:55:03Z 10259.70
2019-01-01T16:00:09Z 10259.62
2019-01-01T16:05:04Z 10260.31
