name: WX-P
time                 value
----                 -----
2018-12-31T23:00:04Z 9579.00
2018-12-31T23:05:04Z 9580.00
2018-12-31T23:10:09Z 9579.00
2018-12-31T23:15:03Z 9581.00
2018-12-31T23:20:09Z 9583.00
2018-12-31T23:25:04Z 9582.00
2018-12-31T23:30:04Z 9582.00
2018-12-31T23:35:04Z 9583.00
2018-12-31T23:40:03Z 9583.00
2018-12-31T23:45:04Z 9583.00
2018-12-31T23:50:09Z 9584.00
2018-12-31T23:55:04Z 9584.00
2019-01-01T00:00:04Z 9585.00
2019-01-01T00:05:09Z 9586.00
2019-01-01T00:10:09Z 9586.00
2019-01-01T00:15:04Z 9586.00
2019-01-01T00:20:08Z 9585.00
2019-01-01T00:25:04Z 9585.00
2019-01-01T00:30:03Z 9585.00
2019-01-01T00:35:09Z 9585.00
2019-01-01T00:40:03Z 9586.00
2019-01-01T00:45:04Z 9586.00
2019-01-01T00:50:04Z 9587.00
2019-01-01T00:55:04Z 9588.00
2019-01-01T01:00:03Z 9589.00
2019-01-01T01:05:09Z 9588.00
2019-01-01T01:10:04Z 9589.00
2019-01-01T01:20:09Z 9589.00
2019-01-01T01:25:03Z 9589.00
2019-01-01T01:30:04Z 9589.00
2019-01-01T01:35:09Z 9589.00
2019-01-01T01:40:04Z 9590.00
2019-01-01T01:45:04Z 9589.00
2019-01-01T01:50:04Z 9589.00
2019-01-01T01:55:04Z 9587.00
2019-01-01T02:00:04Z 9585.00
2019-01-01T02:05:03Z 9586.00
2019-01-01T02:10:04Z 9584.00
2019-01-01T02:15:09Z 9584.00
2019-01-01T02:20:04Z 9584.00
2019-01-01T02:25:09Z 9584.00
2019-01-01T02:30:04Z 9585.00
2019-01-01T02:35:04Z 9584.00
2019-01-01T02:40:09Z 9586.00
2019-01-01T02:45:04Z 9584.00
2019-01-01T02:50:04Z 9584.00
2019-01-01T02:55:08Z 9585.00
2019-01-01T03:00:04Z 9584.00
2019-01-01T03:05:09Z 9585.00
2019-01-01T03:10:04Z 9585.00
2019-01-01T03:15:04Z 9583.00
2019-01-01T03:20:04Z 9583.00
2019-01-01T03:25:04Z 9582.00
2019-01-01T03:30:05Z 9582.00
2019-01-01T03:35:09Z 9583.00
2019-01-01T03:40:04Z 9583.00
2019-01-01T03:45:04Z 9582.00
2019-01-01T03:50:09Z 9581.00
2019-01-01T03:55:04Z 9580.00
2019-01-01T04:00:04Z 9581.00
2019-01-01T04:05:03Z 9580.00
2019-01-01T04:10:03Z 9581.00
2019-01-01T04:15:04Z 9582.00
2019-01-01T04:20:04Z 9582.00
2019-01-01T04:25:03Z 9583.00
2019-01-01T04:30:09Z 9583.00
2019-01-01T04:35:04Z 9583.00
2019-01-01T04:40:09Z 9583.00
2019-01-01T04:45:03Z 9583.00
2019-01-01T04:50:09Z 9582.00
2019-01-01T04:55:05Z 9582.00
2019-01-01T05:00:04Z 9582.00
2019-01-01T05:05:09Z 9581.00
2019-01-01T05:10:04Z 9581.00
2019-01-01T05:15:03Z 9582.00
2019-01-01T05:20:09Z 9580.00
2019-01-01T05:25:04Z 9580.00
2019-01-01T05:30:04Z 9580.00
2019-01-01T05:35:04Z 9582.00
2019-01-01T05:40:04Z 9579.00
2019-01-01T05:45:08Z 9578.00
2019-01-01T05:50:04Z 9581.00
2019-01-01T05:55:09Z 9581.00
2019-01-01T06:00:03Z 9580.00
2019-01-01T06:05:09Z 9580.00
2019-01-01T06:10:03Z 9581.00
2019-01-01T06:15:09Z 9581.00
2019-01-01T06:20:03Z 9581.00
2019-01-01T06:25:10Z 9580.00
2019-01-01T06:30:04Z 9582.00
2019-01-01T06:35:04Z 9580.00
2019-01-01T06:40:05Z 9579.00
2019-01-01T06:45:05Z 9580.00
2019-01-01T06:50:07Z 9582.00
2019-01-01T06:55:08Z 9581.00
2019-01-01T07:00:08Z 9581.00
2019-01-01T07:05:04Z 9581.00
2019-01-01T07:10:09Z 9581.00
2019-01-01T07:15:07Z 9580.00
2019-01-01T07:20:09Z 9579.00
2019-01-01T07:25:03Z 9579.00
2019-01-01T07:30:09Z 9579.00
2019-01-01T07:35:04Z 9581.00
2019-01-01T07:40:04Z 9580.00
2019-01-01T07:45:07Z 9580.00
2019-01-01T07:50:04Z 9579.00
2019-01-01T07:55:04Z 9578.00
2019-01-01T08:00:04Z 9577.00
2019-01-01T08:05:08Z 9579.00
2019-01-01T08:10:04Z 9579.00
2019-01-01T08:15:08Z 9577.00
2019-01-01T08:20:04Z 9577.00
2019-01-01T08:25:09Z 9577.00
2019-01-01T08:30:04Z 9576.00
2019-01-01T08:35:09Z 9575.00
2019-01-01T08:40:04Z 9573.00
2019-01-01T08:45:04Z 9573.00
2019-01-01T08:50:04Z 9574.00
2019-01-01T08:55:09Z 9575.00
2019-01-01T09:00:03Z 9575.00
2019-01-01T09:05:05Z 9575.00
2019-01-01T09:10:03Z 9574.00
2019-01-01T09:15:04Z 9575.00
2019-01-01T09:20:04Z 9575.00
2019-01-01T09:25:09Z 9575.00
2019-01-01T09:30:05Z 9573.00
2019-01-01T09:35:03Z 9572.00
2019-01-01T09:40:09Z 9571.00
2019-01-01T09:45:03Z 9570.00
2019-01-01T09:50:04Z 9569.00
2019-01-01T09:55:04Z 9568.00
2019-01-01T10:00:03Z 9567.00
2019-01-01T10:05:05Z 9565.00
2019-01-01T10:10:09Z 9563.00
2019-01-01T10:15:04Z 9562.00
2019-01-01T10:20:04Z 9562.00
2019-01-01T10:25:03Z 9563.00
2019-01-01T10:30:04Z 9562.00
2019-01-01T10:35:04Z 9561.00
2019-01-01T10:40:04Z 9561.00
2019-01-01T10:45:03Z 9560.00
2019-01-01T10:50:04Z 9559.00
2019-01-01T10:55:04Z 9559.00
2019-01-01T11:00:03Z 9558.00
2019-01-01T11:05:04Z 9557.00
2019-01-01T11:10:04Z 9556.00
2019-01-01T11:15:04Z 9555.00
2019-01-01T11:20:04Z 9554.00
2019-01-01T11:25:04Z 9553.00
2019-01-01T11:30:04Z 9553.00
2019-01-01T11:35:03Z 9551.00
2019-01-01T11:40:05Z 9552.00
2019-01-01T11:45:03Z 9552.00
2019-01-01T11:50:04Z 9550.00
2019-01-01T11:55:04Z 9550.00
2019-01-01T12:00:03Z 9549.00
2019-01-01T12:05:04Z 9548.00
2019-01-01T12:10:09Z 9548.00
2019-01-01T12:15:05Z 9545.00
2019-01-01T12:20:09Z 9545.00
2019-01-01T12:25:04Z 9542.00
2019-01-01T12:30:04Z 9542.00
2019-01-01T12:35:04Z 9543.00
2019-01-01T12:40:09Z 9544.00
2019-01-01T12:45:04Z 9543.00
2019-01-01T12:50:04Z 9543.00
2019-01-01T12:55:03Z 9539.00
2019-01-01T13:00:04Z 9539.00
2019-01-01T13:05:04Z 9538.00
2019-01-01T13:10:03Z 9538.00
2019-01-01T13:15:05Z 9537.00
2019-01-01T13:20:03Z 9536.00
2019-01-01T13:25:04Z 9537.00
2019-01-01T13:30:03Z 9537.00
2019-01-01T13:35:04Z 9535.00
2019-01-01T13:40:04Z 9533.00
2019-01-01T13:45:09Z 9533.00
2019-01-01T13:50:04Z 9531.00
2019-01-01T13:55:04Z 9532.00
2019-01-01T14:00:04Z 9531.00
2019-01-01T14:05:04Z 9532.00
2019-01-01T14:10:04Z 9532.00
2019-01-01T14:15:04Z 9530.00
2019-01-01T14:20:04Z 9529.00
2019-01-01T14:25:09Z 9529.00
2019-01-01T14:30:04Z 9529.00
2019-01-01T14:35:04Z 9529.00
2019-01-01T14:40:04Z 9527.00
2019-01-01T14:45:04Z 9528.00
2019-01-01T14:50:05Z 9527.00
2019-01-01T14:55:08Z 9528.00
2019-01-01T15:00:04Z 9528.00
2019-01-01T15:05:09Z 9527.00
2019-01-01T15:10:04Z 9527.00
2019-01-01T15:15:05Z 9527.00
2019-01-01T15:20:03Z 9527.00
2019-01-01T15:25:04Z 9526.00
2019-01-01T15:30:04Z 9526.00
2019-01-01T15:35:03Z 9525.00
2019-01-01T15:40:04Z 9525.00
2019-01-01T15:45:09Z 9525.00
2019-01-01T15:50:05Z 9525.00
2019-01-01T15:55:03Z 9524.00
2019-01-01T16:00:09Z 9524.00
2019-01-01T16:05:04Z 9525.00
2019-01-01T16:10:09Z 9523.00
2019-01-01T16:15:04Z 9521.00
2019-01-01T16:20:04Z 9521.00
2019-01-01T16:25:04Z 9519.00
2019-01-01T16:30:04Z 9519.00
2019-01-01T16:35:09Z 9518.00
2019-01-01T16:40:05Z 9518.00
2019-01-01T16:45:08Z 9518.00
2019-01-01T16:50:04Z 9516.00
2019-01-01T16:55:04Z 9516.00
2019-01-01T17:00:03Z 9514.00
2019-01-01T17:05:04Z 9514.00
2019-01-01T17:10:09Z 9512.00
2019-01-01T17:15:05Z 9511.00
2019-01-01T17:20:09Z 9511.00
2019-01-01T17:25:04Z 9512.00
2019-01-01T17:30:04Z 9511.00
2019-01-01T17:40:09Z 9508.00
2019-01-01T17:45:05Z 9508.00
2019-01-01T17:50:04Z 9508.00
2019-01-01T17:55:04Z 9508.00
2019-01-01T18:00:03Z 9508.00
2019-01-01T18:05:05Z 9506.00
2019-01-01T18:10:03Z 9506.00
2019-01-01T18:15:05Z 9507.00
2019-01-01T18:20:04Z 9507.00
2019-01-01T18:25:03Z 9506.00
2019-01-01T18:30:04Z 9505.00
2019-01-01T18:35:09Z 9506.00
2019-01-01T18:40:08Z 9505.00
2019-01-01T18:45:04Z 9505.00
2019-01-01T18:50:04Z 9505.00
2019-01-01T18:55:04Z 9505.00
2019-01-01T19:00:03Z 9504.00
2019-01-01T19:05:04Z 9502.00
2019-01-01T19:10:04Z 9501.00
2019-01-01T19:15:04Z 9501.00
2019-01-01T19:20:03Z 9502.00
2019-01-01T19:25:05Z 9499.00
2019-01-01T19:30:05Z 9500.00
2019-01-01T19:35:04Z 9499.00
2019-01-01T19:40:04Z 9499.00
2019-01-01T19:45:04Z 9499.00
2019-01-01T19:50:05Z 9498.00
2019-01-01T19:55:04Z 9498.00
2019-01-01T20:00:04Z 9498.00
2019-01-01T20:05:04Z 9497.00
2019-01-01T20:10:03Z 9495.00
2019-01-01T20:15:09Z 9495.00
2019-01-01T20:20:06Z 9495.00
2019-01-01T20:25:04Z 9495.00
2019-01-01T20:30:04Z 9493.00
2019-01-01T20:35:04Z 9492.00
2019-01-01T20:40:04Z 9492.00
2019-01-01T20:45:04Z 9491.00
2019-01-01T20:50:05Z 9490.00
2019-01-01T20:55:04Z 9489.00
2019-01-01T21:00:04Z 9487.00
2019-01-01T21:05:03Z 9485.00
2019-01-01T21:10:04Z 9484.00
2019-01-01T21:15:04Z 9483.00
2019-01-01T21:20:04Z 9482.00
2019-01-01T21:25:04Z 9482.00
2019-01-01T21:30:04Z 9482.00
2019-01-01T21:35:04Z 9480.00
2019-01-01T21:40:04Z 9480.00
2019-01-01T21:45:04Z 9478.00
2019-01-01T21:50:04Z 9477.00
2019-01-01T21:55:04Z 9477.00
2019-01-01T22:00:04Z 9476.00
2019-01-01T22:05:04Z 9475.00
2019-01-01T22:10:03Z 9475.00
2019-01-01T22:15:04Z 9476.00
2019-01-01T22:20:03Z 9475.00
2019-01-01T22:25:09Z 9476.00
2019-01-01T22:30:06Z 9475.00
2019-01-01T22:35:04Z 9474.00
2019-01-01T22:40:03Z 9474.00
2019-01-01T22:45:04Z 9473.00
2019-01-01T22:50:04Z 9472.00
2019-01-01T22:55:03Z 9472.00
2019-01-01T23:00:05Z 9471.00
2019-01-01T23:05:03Z 9471.00
2019-01-01T23:10:04Z 9471.00
2019-01-01T23:15:04Z 9469.00
2019-01-01T23:20:04Z 9469.00
2019-01-01T23:25:04Z 9469.00
2019-01-01T23:30:03Z 9467.00
2019-01-01T23:35:05Z 9467.00
2019-01-01T23:40:03Z 9467.00
2019-01-01T23:45:04Z 9467.00
2019-01-01T23:50:04Z 9466.00
2019-01-01T23:55:09Z 9465.00
2019-01-02T00:00:05Z 9463.00
2019-01-02T00:05:03Z 9462.00
2019-01-02T00:10:09Z 9462.00
2019-01-02T00:15:04Z 9462.00
2019-01-02T00:20:04Z 9461.00
2019-01-02T00:25:04Z 9459.00
2019-01-02T00:30:04Z 9461.00
2019-01-02T00:35:05Z 9460.00
2019-01-02T00:40:03Z 9458.00
2019-01-02T00:45:04Z 9458.00
2019-01-02T00:50:03Z 9459.00
2019-01-02T00:55:04Z 9461.00
2019-01-02T01:00:09Z 9460.00
2019-01-02T01:05:04Z 9459.00
2019-01-02T01:10:08Z 9459.00
2019-01-02T01:15:09Z 9458.00
2019-01-02T01:20:08Z 9457.00
2019-01-02T01:25:03Z 9458.00
2019-01-02T01:30:04Z 9457.00
2019-01-02T01:35:04Z 9455.00
2019-01-02T01:40:03Z 9454.00
2019-01-02T01:45:05Z 9453.00
2019-01-02T01:50:05Z 9453.00
2019-01-02T01:55:04Z 9454.00
2019-01-02T02:00:04Z 9453.00
2019-01-02T02:05:04Z 9452.00
2019-01-02T02:10:04Z 9452.00
2019-01-02T02:15:04Z 9453.00
2019-01-02T02:20:04Z 9452.00
2019-01-02T02:25:03Z 9451.00
2019-01-02T02:30:04Z 9452.00
2019-01-02T02:35:04Z 9451.00
2019-01-02T02:40:05Z 9451.00
2019-01-02T02:45:04Z 9452.00
2019-01-02T02:50:04Z 9449.00
2019-01-02T02:55:06Z 9449.00
2019-01-02T03:00:04Z 9449.00
2019-01-02T03:05:04Z 9449.00
2019-01-02T03:10:04Z 9447.00
2019-01-02T03:15:05Z 9447.00
2019-01-02T03:20:05Z 9447.00
2019-01-02T03:25:05Z 9447.00
2019-01-02T03:30:04Z 9446.00
2019-01-02T03:35:04Z 9446.00
2019-01-02T03:40:06Z 9446.00
2019-01-02T03:45:04Z 9445.00
